# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
2

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,Gross Wing B (T + D),0,MLEIZEOZLS,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,21,33
# x,y,z,u,w
8.162756952045355092e+02, 1.400000000000000000e+02, -1.156199999999999761e+01, 1.800000000000000044e+00, 1.000000000000000000e+00
7.680723689308051689e+02, 1.400000000000000000e+02, -1.138109353258306733e+01, 1.800000000000000044e+00, 1.124500000000000055e+00
7.198715407068593777e+02, 1.400000000000000000e+02, -1.083849116484142350e+01, 1.800000000000000044e+00, 1.249000000000000110e+00
6.716761353407163142e+02, 1.400000000000000000e+02, -9.934368448538791085e+00, 1.800000000000000044e+00, 1.373499999999999943e+00
6.234890776403935888e+02, 1.400000000000000000e+02, -8.668900935438886179e+00, 1.800000000000000044e+00, 1.497999999999999998e+00
5.753130236744904096e+02, 1.400000000000000000e+02, -7.042308523727891512e+00, 1.800000000000000044e+00, 1.622500000000000053e+00
5.271503941264031710e+02, 1.400000000000000000e+02, -5.054994153833629156e+00, 1.800000000000000044e+00, 1.746999999999999886e+00
4.790037607263465702e+02, 1.400000000000000000e+02, -2.707407940882271546e+00, 1.800000000000000044e+00, 1.871499999999999941e+00
4.308756952045354751e+02, 1.400000000000000000e+02, 0.000000000000000000e+00, 1.800000000000000044e+00, 2.000000000000000000e+00
4.790037607263463997e+02, 1.400000000000000000e+02, 2.707407940882262221e+00, 1.800000000000000044e+00, 2.128499999999999837e+00
5.271503941264030573e+02, 1.400000000000000000e+02, 5.054994153833625603e+00, 1.800000000000000044e+00, 2.253000000000000114e+00
5.753130236744904096e+02, 1.400000000000000000e+02, 7.042308523727890623e+00, 1.800000000000000044e+00, 2.377499999999999947e+00
6.234890776403935888e+02, 1.400000000000000000e+02, 8.668900935438884403e+00, 1.800000000000000044e+00, 2.501999999999999780e+00
6.716761353407160868e+02, 1.400000000000000000e+02, 9.934368448538791085e+00, 1.800000000000000044e+00, 2.626500000000000057e+00
7.198715407068591503e+02, 1.400000000000000000e+02, 1.083849116484142172e+01, 1.800000000000000044e+00, 2.750999999999999890e+00
7.680723689308049416e+02, 1.400000000000000000e+02, 1.138109353258306555e+01, 1.800000000000000044e+00, 2.875499999999999723e+00
8.162756952045355092e+02, 1.400000000000000000e+02, 1.156199999999999761e+01, 1.800000000000000044e+00, 3.000000000000000000e+00
8.644790214782658495e+02, 1.400000000000000000e+02, 1.138109353258306555e+01, 1.800000000000000044e+00, 3.124500000000000277e+00
9.126798497022115271e+02, 1.400000000000000000e+02, 1.083849116484141994e+01, 1.800000000000000044e+00, 3.249000000000000110e+00
9.608752550683547042e+02, 1.400000000000000000e+02, 9.934368448538787533e+00, 1.800000000000000044e+00, 3.373499999999999943e+00
1.009062312768677089e+03, 1.400000000000000000e+02, 8.668900935438884403e+00, 1.800000000000000044e+00, 3.498000000000000220e+00
1.057238366734580040e+03, 1.400000000000000000e+02, 7.042308523727898617e+00, 1.800000000000000044e+00, 3.622500000000000053e+00
1.105400996282667165e+03, 1.400000000000000000e+02, 5.054994153833641590e+00, 1.800000000000000044e+00, 3.746999999999999886e+00
1.153547629682723937e+03, 1.400000000000000000e+02, 2.707407940882278652e+00, 1.800000000000000044e+00, 3.871500000000000163e+00
1.201675695204535486e+03, 1.400000000000000000e+02, 0.000000000000000000e+00, 1.800000000000000044e+00, 4.000000000000000000e+00
1.188594619005669301e+03, 1.750000000000000000e+02, 0.000000000000000000e+00, 2.000000000000000000e+00, 0.000000000000000000e+00
1.148009197898797083e+03, 1.750000000000000000e+02, -2.283102181595066504e+00, 2.000000000000000000e+00, 1.285000000000000031e-01
1.107408118876953722e+03, 1.750000000000000000e+02, -4.262774001027321624e+00, 2.000000000000000000e+00, 2.530000000000000027e-01
1.066793550628047569e+03, 1.750000000000000000e+02, -5.938635885343968468e+00, 2.000000000000000000e+00, 3.775000000000000022e-01
1.026167661839986977e+03, 1.750000000000000000e+02, -7.310308261592210144e+00, 2.000000000000000000e+00, 5.020000000000000018e-01
9.855324938259630017e+02, 1.750000000000000000e+02, -8.377451338285174742e+00, 2.000000000000000000e+00, 6.265000000000000568e-01
9.448902863947316746e+02, 1.750000000000000000e+02, -9.139879679744323582e+00, 2.000000000000000000e+00, 7.510000000000000009e-01
9.042435059775486934e+02, 1.750000000000000000e+02, -9.597445246729362722e+00, 2.000000000000000000e+00, 8.754999999999999449e-01
8.635946190056693013e+02, 1.750000000000000000e+02, -9.749999999999998224e+00, 2.000000000000000000e+00, 1.000000000000000000e+00
8.229457320337897954e+02, 1.750000000000000000e+02, -9.597445246729362722e+00, 2.000000000000000000e+00, 1.124500000000000055e+00
7.822989516166067006e+02, 1.750000000000000000e+02, -9.139879679744323582e+00, 2.000000000000000000e+00, 1.249000000000000110e+00
7.416567441853756009e+02, 1.750000000000000000e+02, -8.377451338285174742e+00, 2.000000000000000000e+00, 1.373499999999999943e+00
